logFC AveExpr t P.Value adj.P.Val B
ABHD17C -0.953529219310731 8.87751246170313 -4.03088660124433 0.00353525984831741 0.0806435660386297 -1.72679341583381
ABHD18 -0.685433738452007 6.37769767801625 -2.80158827792156 0.022409519115887 0.18942152704376 -3.58757769458181
ABHD2 0.855551092962149 7.96331019566186 2.462558448654 0.0382382951593724 0.238361371942877 -4.1135966750979
ABHD3 -0.143463849971422 9.08054413837488 -0.632516921677772 0.544142937659551 0.786195960825833 -6.38684845824453
ABHD4 -0.550786740090153 5.41585479601553 -1.44739758420043 0.184618905146148 0.484014874152211 -5.57638213947552
ABHD5 0.246333561998822 5.20671926271911 1.04757386449188 0.324493611160101 0.627136908241484 -6.03533862495631
ABHD6 -0.136217446873504 4.67476224171127 -0.854113302926987 0.417103421795404 0.702458122683429 -6.2173288554505
ABHD8 0.0857453388688745 3.70554904492849 0.156350614114209 0.879507515667205 0.955926550676036 -6.58834287464759
ABI1 -0.181400714808444 6.33813819050806 -0.792608188165185 0.45015110648421 0.724192015759125 -6.26876369833068
ABI2 0.636391312785225 6.34951550587309 3.72355184612083 0.00551039083612076 0.0958550639440956 -2.17729415541405
ABI3 -1.15234988847934 3.98721751822284 -4.85369623048201 0.00115257212043878 0.0491984031052101 -0.588508515091548
ABI3BP 0.0652151636840226 3.46517501319155 0.274587144770334 0.790370790615417 0.919304644215027 -6.56047237037223
ABITRAM 0.573364455682939 7.68184470625575 2.60772878021164 0.0303994547623841 0.215221122871366 -3.88887931502849
ABL1 0.42623551975322 8.30234125788869 1.69572644268516 0.127159120362307 0.407961509521095 -5.24774098975484
ABL2 0.566338874887954 5.62541802428839 2.75468394875789 0.0241206111377918 0.194268795318657 -3.66052381890181
ABLIM1 -1.30277223558406 6.69631065863664 -3.70807528910179 0.005636907338071 0.0972844232865923 -2.20030589803956
ABLIM2 0.192030561195951 3.21371123528142 0.746578448715277 0.476011179065755 0.741682740308863 -6.30509938738544
ABLIM3 -0.878637509037612 5.35078348537621 -3.04849296084667 0.0152553953115904 0.158285891454165 -3.20422012040297
ABO -0.299772124515551 3.12455306126184 -1.01937411252612 0.336926736934657 0.638017798774553 -6.06368024608223
ABR -0.00260963566074413 4.68826941821746 -0.00955485442556349 0.992603008459439 0.998154060750217 -6.60172601735073
ABRA -0.288753864357751 1.65851486726838 -0.957036173045126 0.365695573980739 0.660831102626605 -6.12418824008714
ABRACL 0.781582715952862 9.00217892624908 2.69019576847716 0.026694394569466 0.202754911702604 -3.76079104866673
ABRAXAS1 0.226595359020585 6.1446174204211 1.08778476930011 0.307383536638301 0.6120964697026 -5.99391408245521
ABRAXAS2 -0.0861836702145471 7.27415922077387 -0.59453287121665 0.568066518134958 0.800930397400177 -6.41136115881209
ABT1 0.387925128767693 6.76369889615205 1.4920121474175 0.172836288115901 0.469315246441949 -5.51943081497494
ABTB1 -0.0435733038943646 2.34847575831395 -0.236470416554489 0.818821701781449 0.932086949570845 -6.57110711295677
ABTB2 -0.273954959826105 3.07424532744053 -1.48996677121723 0.173361543676136 0.469869319758754 -5.52206340851108
ACAA1 -0.782462742142194 8.91792367161325 -4.77441249253561 0.00127848160323941 0.05111892298631 -0.693642451363268
ACAA2 -0.111948205352587 4.53128309922587 -0.337311312743551 0.744287048359206 0.896316549328825 -6.53959269530197
ACACA 0.938844826011676 8.11622142910391 2.85581274099716 0.0205859857706939 0.181394974744132 -3.50326034218977
ACACB -0.589818742216242 4.67484449717375 -2.04337082843861 0.074142266054286 0.323579251536774 -4.74953804040677
ACAD10 0.161449859936103 4.10711688772329 0.727139931325144 0.487218303774873 0.74868578514938 -6.31987589558891
ACAD8 -0.803718534924077 9.12299413436857 -1.54185592600383 0.160466828628265 0.453829568870304 -5.45465653294146
ACAD9 0.342806160210828 7.66188284727382 1.9145196581738 0.0907067049798968 0.353312603141689 -4.93833324060662
ACADL -0.430662402423664 7.93784082386262 -0.513880205465908 0.620786282713384 0.832812729050817 -6.45875759026272
ACADM -0.206640009139184 9.84843952973057 -1.21320105204976 0.258575976069282 0.566526602802347 -5.85745394270566
ACADS -0.581430801416535 4.28479591229017 -2.32025008147791 0.0478972233428161 0.26552378475251 -4.33224545808514
ACADSB -0.518355055255167 8.60516388895184 -1.2248102661176 0.254397594913502 0.562728882926176 -5.84429320433911
ACADVL -0.612542818595708 9.20292246301704 -3.27499944560721 0.01077506513638 0.133930592103383 -2.85510530138367
ACAN 0.750974272905343 3.38106639245278 2.30624195824389 0.0489707829074418 0.267798536733224 -4.35364744236894
ACAP1 0.481675855259486 3.12429537715819 1.78747159480728 0.110458338915562 0.385484233517446 -5.11993752799892
ACAP2 0.106790162538712 6.23151441997649 0.684722766979835 0.512255213096082 0.766215359978842 -6.35092572409349
ACAP3 -0.110840711882618 3.95496214900642 -0.291404487666814 0.777920186557715 0.912729429855672 -6.55528508663378
ACAT1 -0.357534713460407 5.46533716810458 -1.16386370828117 0.276966794014619 0.582854471685449 -5.91240624838851
ACAT2 -1.08650262340532 9.07910261201 -3.32750486937351 0.0099487146116575 0.129265763264945 -2.77472295367263
ACBD3 0.0563104078775609 8.63202178557853 0.284866874415337 0.782752432212533 0.915383654536406 -6.55733750799267
ACBD4 -0.172242168715274 5.74383639662877 -1.03355876587868 0.33062783671435 0.632906260671743 -6.04949832574281
ACBD5 -0.297569281458647 7.85071591956075 -1.61143569339647 0.144529459356239 0.433813354630425 -5.36233010064907
ACCS -0.654053084558676 5.96835341859689 -2.46083317167422 0.0383428124884414 0.23862428846094 -4.1162589010953
ACD -0.169852479528354 5.9629905821439 -0.658753153909272 0.527971694281424 0.776580086574588 -6.36911512660045
ACE -0.745332644344782 3.91274489789021 -1.28315079766892 0.234239322819531 0.541258591642898 -5.77687337138251
ACE2 0.725464167299285 3.15500165414328 1.22594869061047 0.253990874667277 0.562368084532274 -5.84299799547656
ACER1 -0.344816742553599 1.53355784302866 -2.04960779763196 0.0734194137290551 0.322066754588305 -4.7402975065226
ACER2 -0.103219050017019 6.8870488215872 -0.421262261444509 0.684303143060905 0.866523626666341 -6.50516220262381
ACER3 0.323959018237963 6.10341300945221 1.01018477445464 0.341056134375435 0.641448592103714 -6.07278701248602
ACHE -0.205883637345732 1.51123602773647 -0.736053556948546 0.482058264041602 0.745369502047275 -6.31314237489772
ACIN1 0.150185273001401 6.69202259353448 0.998325294225067 0.346442216654256 0.645501635944062 -6.0844452068459
ACKR1 2.2311392480309 4.2324850987565 2.31186189397469 0.0485372347876204 0.266629575124237 -4.34506413174426
ACKR2 0.0128785213990104 2.34356449205398 0.0376195205284882 0.97088365207537 0.989380193897024 -6.60099745791449
ACKR3 1.07407812401877 5.12081038115136 2.44919993712452 0.0390550972881577 0.24106900388846 -4.1342034914191
ACKR4 0.241982605084619 2.75622295483631 0.249363283818414 0.809164030493454 0.927896259797465 -6.56768472431463
ACLY 0.214155048919611 9.12828554882163 1.26098638763843 0.241734412519144 0.54970068053988 -5.80273547378534
ACMSD -0.30081317718527 1.8518598474716 -0.529029229657043 0.61069148430831 0.827036704643751 -6.4503445087
ACO1 -0.411831495953829 5.94376454957809 -1.10425719379768 0.300582397091272 0.604977442711337 -5.97660863577436
ACO2 0.272705381042509 5.76676488930181 0.67134188575318 0.520316762563381 0.771698863531765 -6.36037640219832
ACOD1 -0.414382513118602 3.49943807628066 -1.28452741957184 0.233780322061835 0.540887728449699 -5.77525723304413
ACOT11 -0.884219152888218 3.00817674168904 -2.53781429947271 0.0339481351888687 0.227382816753062 -3.99726022298151
ACOT12 1.12219650325191 1.64067228662994 2.02168213585342 0.0767099904286604 0.329273568711786 -4.78160261352091
ACOT13 -1.09687796669414 8.69495732322573 -3.85791774980873 0.00453102166938204 0.0891137812526431 -1.97878705929332
ACOT4 0.167223997393871 5.7097646458464 0.355788417551001 0.73090742843914 0.889243416250917 -6.53264746134796
ACOT6 0.173490537768014 1.23223195114717 1.17546844078721 0.272547985719582 0.578711105691732 -5.89962538505856
ACOT7 0.760967133484233 5.02461701678986 2.91494245017918 0.0187709495054572 0.174191621890895 -3.41136791391995
ACOT8 -0.152529851373104 6.28620748270201 -0.712759001358149 0.495617806012584 0.755028893433968 -6.33058749992156
ACOT9 -0.016651620749502 7.67119458538965 -0.0483905206420358 0.9625537094093 0.986147102718821 -6.60048772348105
ACOX1 -0.33897500545388 5.49637751582175 -1.96858065337633 0.0833642918136906 0.340726834089388 -4.85963442423369
ACOX2 -2.15036482896187 5.77460099246117 -4.39796610151155 0.00211804578066121 0.0651564614266237 -1.20622413189381
ACOX3 0.357407499109772 6.67111459835823 1.95997946770972 0.0844931124795198 0.343147366061416 -4.87220738603907
ACOXL -2.75638627593196 4.61581665927469 -8.38038950465807 2.56368959477135e-05 0.00837194394004764 3.16559245449636
ACP1 0.226034808895344 7.89270286153174 1.21312306750667 0.258604234412502 0.566526602802347 -5.85754205714193
ACP2 -0.317444606222531 7.60657524312546 -1.36924207948837 0.206964246710433 0.510553241623524 -5.67365964858004
ACP3 -1.13834272823079 10.4787572606178 -6.70082952121878 0.000131272349519356 0.0191464852722043 1.58823964949175
ACP4 -0.144791768219881 5.32095051770833 -0.767045850982719 0.464394073627253 0.733666656085716 -6.28917438015636
ACP5 -0.726135923874847 7.32434152899894 -1.30678207342564 0.226464705190343 0.533714616514688 -5.74897287390591
ACP6 0.0239926828010502 6.74366872169343 0.142883141367746 0.889803775782345 0.959625971136344 -6.5905546341564
ACR 0.30504416825329 3.38209905301582 0.499255889466331 0.630612773153716 0.839188816177001 -6.46666184527849
ACRBP -0.628503845356283 2.3363135462211 -1.47259934184969 0.17787886973153 0.475759820490697 -5.54433394388128
ACRV1 0.884229458757581 3.43863939139368 1.43815341007382 0.187146956617825 0.486675836677712 -5.58805646327632
ACSBG1 -1.05599830702381 2.03572569386173 -1.89294591068872 0.0938059284391985 0.358400851704774 -4.9695146674719
ACSBG2 0.240068415240961 3.5755909358531 0.652208591898906 0.531978164087483 0.779233634218111 -6.37359945843383
ACSF2 -1.12011889917616 5.79568113936119 -6.05597070567438 0.000266534265212222 0.0259771269604267 0.885888477682613
ACSF3 0.0673359085709908 4.05209777203051 0.234956393820988 0.819957998636127 0.932247799928722 -6.57149725625805
ACSL1 -0.791129959923175 10.2241975911081 -2.77574776157912 0.0233361848817616 0.192435124286881 -3.62776537448636
ACSL3 0.0707310518483322 10.866334073704 0.298449915432022 0.77272402136858 0.910500650466786 -6.55302220049912
ACSL4 -0.33802230136029 4.31544802288883 -0.827914246765645 0.430968599383402 0.711640368412757 -6.23963514193341
ACSL5 0.571611127037055 7.02893343148235 1.26883826464997 0.239056556495044 0.546882329582251 -5.79360800554017
ACSL6 0.474860240147272 2.40701642531163 1.02276561193639 0.335412395417226 0.63674083717444 -6.06030312757699
ACSM1 0.576507307198276 4.16988950262868 1.28598197782614 0.233296158727579 0.540330474961301 -5.77354835577891
ACSM2A 0.26387281485133 1.40206461089649 0.48309761791652 0.641561050462398 0.845101527521992 -6.47514539095741
ACSM2B 0.14010839091003 1.22232836965282 0.354672221865108 0.731712982779323 0.889516192895353 -6.53307721629775
ACSM3 -0.813675788913605 7.52050928513639 -0.965947960077939 0.361473831314352 0.657818663268777 -6.11572247693504
ACSM5 0.189557683493152 3.42426603748626 0.521411704366819 0.615756728752585 0.83008676893754 -6.45460350590836
ACSS1 0.142791995767329 3.37885315809679 0.933460623065742 0.377039983797926 0.670125517006675 -6.14628118489815
ACSS2 -0.0261674187486252 6.97725121017436 -0.110860102244187 0.914371584521392 0.968779699511896 -6.59501758987233
ACSS3 -1.19021828883961 5.23624710353123 -3.98852397040149 0.00375530490201713 0.0829706519796689 -1.78812863999357
ACTA1 -2.23461030590085 3.6494182775425 -1.84506910436193 0.101047062032367 0.370263277021974 -5.03822543290353
ACTA2 -0.591805997706235 6.68498810445975 -1.87077673055232 0.0970954896275761 0.363666369011505 -5.00141637370827
ACTA2-AS1 -0.747568958388153 4.65602985924286 -1.58294873575444 0.150872720132862 0.442572828548204 -5.40038877891656
ACTB 0.0985512664855115 12.430709975125 0.611944217933495 0.557026127295016 0.793477216260829 -6.40029660099105
ACTC1 -2.07323232458028 6.74643681783196 -3.78916251113557 0.00500665404429517 0.092738706395972 -2.0800730636243
ACTG1 0.375321407039475 12.7694160057941 2.69834198349284 0.0263543472233524 0.201862879191135 -3.74812858356562
ACTG1P17 -0.144283722258519 3.39586173991952 -0.464462236919553 0.654303770253235 0.851982014856854 -6.48460192898341
ACTG1P25 0.241643657983289 3.83391634665514 0.513041817623444 0.62134747459391 0.833161317016175 -6.45921651125741
ACTG2 -1.1517302534601 6.41661085770429 -2.47223855898011 0.037657170187034 0.236999275374462 -4.09865520137734
ACTL10 -0.447236726897633 5.86466841640704 -0.954494253064359 0.366906433968451 0.661915541495876 -6.12659149015772
ACTL6A 0.347010794465488 9.03163343925889 2.0659907480038 0.0715530728424193 0.318680854211902 -4.71598393461501
ACTL6B -0.0273738581100197 0.908317556673709 -0.173119450887879 0.866721328103729 0.951431933697867 -6.58531243688015
ACTL7A -0.0607365426669577 1.21483082072109 -0.421707726541767 0.683990630201599 0.866452699112923 -6.50495996456198
ACTL7B -0.130484405443994 1.83831402704301 -0.156577921156077 0.879333935089618 0.955919310130521 -6.58830384542486
ACTL8 0.0945359343465673 1.72370520655461 0.540430242211531 0.603151746624319 0.823618957234666 -6.44386253857708
ACTL9 -0.394915456565407 2.2001468414562 -0.439229421222231 0.671750028557109 0.860439953689677 -6.49684325381039
ACTN1 -0.281439409301355 7.5332416006781 -1.17613852621132 0.272294592723511 0.578629477374863 -5.89888464240753
ACTN2 0.0403336283213596 1.86758713246371 0.110577880780821 0.914588578044828 0.968779699511896 -6.59505193192513
ACTN3 -0.526492574173837 3.69412073524163 -1.20483415336884 0.261622319371574 0.569826306926996 -5.86688528704153
ACTN4 -0.296469434006986 7.67165127944825 -1.34951324948884 0.212961982621064 0.517565610758276 -5.6976891214934
ACTR10 -0.240645457504412 10.0291336630183 -1.1443782269895 0.284516709821053 0.589232947744783 -5.93366260248869
ACTR1A 0.209786546374687 7.44336972140768 0.947673490356628 0.370170227532498 0.66419824807685 -6.13301493718977
ACTR1B -0.0827068121867391 8.34986811949238 -0.413210695993214 0.689962705367228 0.869451674320097 -6.50878226074565
ACTR2 0.311504489159258 7.13621926186067 1.54346007835282 0.160082239316344 0.453263180472993 -5.45255245387655
ACTR3 0.217385239306106 8.53209488682861 1.32248581462144 0.221420056780101 0.527066665631427 -5.73024913131219
ACTR3-AS1 0.666968958272959 1.48437435703679 1.05716280566577 0.320347657134037 0.623247965714825 -6.02556718820399
ACTR3B 0.532888769971663 6.26702149188455 2.52660717405867 0.034554824184142 0.229306384985253 -4.0146090510402
ACTR3BP2 0.36944386495358 3.69635062995926 0.791525972390682 0.450748085282977 0.724510851937966 -6.26963945447435
ACTR3C -0.360885886301631 5.55617416657441 -1.10833761366896 0.298916213630982 0.6035060792517 -5.97229217917117
ACTR5 0.322142267072781 5.82695270248769 1.77217601832882 0.113092518705311 0.388523124072438 -5.14145228291811
ACTR6 -0.20530513426729 6.40749909319401 -0.817790719671004 0.436410617464521 0.714684064734416 -6.24809751596238
ACTR8 0.304635092474281 6.26398679450816 1.75584847817509 0.115969164202939 0.392704286977741 -5.16432943072173
ACTRT2 -0.291456898825782 1.34613078010714 -0.788794572895521 0.45225716764712 0.725315474480275 -6.27184521271514
ACTRT3 0.578764314221699 4.04281426655857 0.95973904677466 0.364411299552348 0.660109341983724 -6.12162723371101
ACVR1 0.252442144344943 8.55172834049088 1.62441444931255 0.141720653371436 0.430257302382539 -5.3448752657247
ACVR1B -0.30579665007591 4.81499075530871 -1.48114942889537 0.175642098056187 0.472291946916061 -5.53338866153513
ACVR1C 0.891647599790569 3.00270405310932 1.39241527837392 0.200105972484651 0.503217356833324 -5.64515895787995
ACVR2A -0.0347151929726675 7.5130083931309 -0.191522421245626 0.852736897629364 0.946276898261324 -6.58163440972099
ACVR2B 0.0605785257909144 5.34773426354753 0.264643901772547 0.797762548212944 0.921416184963859 -6.56339699310368
ACVR2B-AS1 0.000506786115225033 5.17742182456317 0.0019257184770389 0.998509160292735 0.999665722232492 -6.60177422052192
ACVRL1 2.43057406065772 3.3270565351976 4.76778916213187 0.00128965620188041 0.0512349702907042 -0.702469991665586
ACY1 0.273688435755083 1.0766979761448 1.50897892968718 0.168533444297071 0.465329897763305 -5.49751460170512
ACY3 0.961333712551133 3.41335648063793 1.1437549373541 0.284760921841462 0.589446064593825 -5.93433828027224
ACYP1 0.53974719916388 7.5147165766597 2.43111034914419 0.0401892146442496 0.244822943909887 -4.16208448169877
ACYP2 -0.597825674560782 8.02921203293078 -1.79124837189998 0.109816814477408 0.38482387628094 -5.11461287751218
ADA 1.88163834667811 4.26021066933175 5.82357825787108 0.000348399058037266 0.029094515481514 0.618098653626149
ADA2 0.234016579092599 6.59146039658804 0.448151329696494 0.665556501523184 0.857759469610063 -6.49258924139098
ADAD1 -0.491316455428362 3.24390048352072 -1.31056047050199 0.225242108371902 0.531854936523578 -5.74448108025522
ADAD2 -0.275088283399958 3.23026692031083 -0.617184175189304 0.553727984117359 0.792095781625727 -6.39690968503262
ADAL 0.30853370395353 5.21982274792271 1.57003590782376 0.15383024669967 0.445768523954796 -5.41752344221221
